Invalid_Comments,keywords
cancelling defect slight delay expected ship shore sync hence count difference data caught count matching,"['cancelling defect slight delay expected', 'difference data caught count matching', 'defect slight delay expected ship', 'slight delay expected ship shore', 'delay expected ship shore sync', 'count difference data caught count', 'cancelling defect slight delay', 'data caught count matching', 'defect slight delay expected', 'slight delay expected ship', 'delay expected ship shore', 'expected ship shore sync', 'count difference data caught', 'difference data caught count', 'shore sync hence count difference', 'sync hence count difference data', 'ship shore sync hence count', 'cancelling defect slight', 'caught count matching', 'defect slight delay']"
one robocopies take look n ncc review kafka publishing working shipboard cm whats next step publish change saved see screenshot modification date look like july n n yes published screenshots see aug n shot pm take screenshot color dot status column row one n n screen shot pm cm ship non prod publishes qa ship cm content topic see issue e index integration dev not get update ncan publish event dev ship integration ship mean topic integration ship cm content dev ship cm content n nfyi communicated last year initially created non prod shipboard environment since one instance cm support one environment fully mean choose single kafka topic use n nwe would recommend point dev int topic qa ship non prod ok case need handle thanks help suggested vxp need consume event dev integration,"['shot pm take screenshot', 'shipboard cm whats next step', 'robocopies take look n ncc', 'shot pm cm ship', 'july n n yes published', 'row one n n screen', 'ship non prod ok case', 'topic qa ship non prod', 'screen shot pm cm ship', 'color dot status column row', 'ncc review kafka publishing working', 'screenshot color dot status column', 'ncan publish event dev ship', 'review kafka publishing working shipboard', 'event dev ship integration ship', 'update ncan publish event dev', 'publish event dev ship integration', 'recommend point dev int topic', 'year initially created non prod', 'suggested vxp need consume event']"
fyi dc support could check visitor taking much time sync vxp approving n dc addressed quickly n nyesterday observed bulk import took hour import visitor post approval process took close hr n nkindly look change prod delay not earlier n need threaddump network call log import process n ndelay could due resource availability sure need get stats dxp core pod nfyi meet evening fabio going import visitor today n n information discussed call checked db connectivity dxp core pod no issue nif get thread dump process running analyse delay issue let know still required call nfyi duplicate cancel one bug conversation update tracked one ticket see another duplicate problem keep one issue track slowness issue cancelling duplicate open,"['problem keep one issue', 'approving n dc addressed', 'earlier n need threaddump', 'duplicate problem keep one issue', 'availability sure need get stats', 'today n n information', 'problem keep one issue track', 'vxp approving n dc addressed', 'approving n dc addressed quickly', 'earlier n need threaddump network', 'visitor today n n information', 'today n n information discussed', 'stats dxp core pod nfyi', 'dxp core pod nfyi meet', 'core pod nfyi meet evening', 'pod nfyi meet evening fabio', 'thread dump process running analyse', 'hour import visitor post approval', 'slowness issue cancelling duplicate open', 'dump process running analyse delay']"
don believe issue happening anymore qa not reproduce retest verify,"['don believe issue happening anymore', 'don believe issue happening', 'reproduce retest verify', 'issue happening anymore', 'happening anymore qa not reproduce', 'anymore qa not reproduce retest', 'don believe issue', 'retest verify', 'issue happening', 'happening anymore', 'anymore qa not reproduce', 'reproduce retest', 'don', 'verify', 'issue', 'happening', 'anymore', 'reproduce', 'retest']"
no longer happening retest,"['longer happening retest', 'happening retest', 'longer happening', 'retest', 'longer', 'happening']"
im pretty sure exists different story fexco team marking duplicate,"['story fexco team marking duplicate', 'fexco team marking duplicate', 'exists different story fexco team', 'story fexco team marking', 'team marking duplicate', 'pretty sure exists different story', 'exists different story fexco', 'story fexco team', 'fexco team marking', 'marking duplicate', 'pretty sure exists', 'exists different story', 'story fexco', 'fexco team', 'team marking', 'duplicate', 'pretty', 'exists', 'story', 'fexco']"
not reproducible might intermittent glitch,"['reproducible might intermittent glitch', 'intermittent glitch', 'reproducible might intermittent', 'glitch', 'reproducible', 'intermittent']"
guy facing issue no able access apps ship network using vpn screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket,"['screenshot pm able connect', 'screenshot pm able connect app', 'screenshot pm n n screenshot', 'ship network using vpn screenshot', 'apps ship network using vpn', 'access apps ship network', 'network using vpn screenshot', 'nplease see attached screenshots', 'guy facing issue', 'ship network using vpn', 'access apps ship', 'apps ship network', 'vpn r nplease see attached', 'facing issue no able access', 'connect app using vpn', 'issue no able access apps', 'vpn screenshot', 'attached screenshots', 'guy facing', 'canceling ticket']"
restart vpn try able launch application end vpn working fine ship well discussed check team vpn issue ablet access apps without issue ship network using vpn able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm,"['network using vpn able connect', 'app using vpn r nplease', 'screenshot pm n n screenshot', 'application end vpn working fine', 'launch application end vpn working', 'end vpn working fine ship', 'discussed check team vpn issue', 'check team vpn issue ablet', 'team vpn issue ablet access', 'vpn issue ablet access apps', 'issue ablet access apps', 'application end vpn working', 'end vpn working fine', 'launch application end vpn', 'discussed check team vpn', 'vpn issue ablet access', 'vpn working fine ship', 'check team vpn issue', 'team vpn issue ablet', 'working fine ship well discussed']"
restart vpn try able launch application end vpn haven received issue ship well guy also facing issue hotfix got deployed yesterday no able access apps ni asked bridge call yesterday check vv team issue vpn screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm n ncancelling ticket able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket,"['app using vpn r nplease', 'screenshot pm n n screenshot', 'asked bridge call yesterday check', 'launch application end vpn haven', 'application end vpn haven received', 'end vpn haven received issue', 'vpn haven received issue ship', 'bridge call yesterday check', 'call yesterday check vv team', 'asked bridge call yesterday', 'team issue vpn screenshot', 'received issue ship well guy', 'facing issue hotfix got deployed', 'haven received issue ship', 'guy also facing issue hotfix', 'issue hotfix got deployed yesterday', 'yesterday check vv team issue', 'launch application end vpn', 'application end vpn haven', 'end vpn haven received']"
