Invalid_Comments,Value
cancelling defect slight delay expected ship shore sync hence count difference data caught count matching,working as expected
one robocopies take look n ncc review kafka publishing working shipboard cm whats next step publish change saved see screenshot modification date look like july n n yes published screenshots see aug n shot pm take screenshot color dot status column row one n n screen shot pm cm ship non prod publishes qa ship cm content topic see issue e index integration dev not get update ncan publish event dev ship integration ship mean topic integration ship cm content dev ship cm content n nfyi communicated last year initially created non prod shipboard environment since one instance cm support one environment fully mean choose single kafka topic use n nwe would recommend point dev int topic qa ship non prod ok case need handle thanks help suggested vxp need consume event dev integration,reproducible or environment issue
fyi dc support could check visitor taking much time sync vxp approving n dc addressed quickly n nyesterday observed bulk import took hour import visitor post approval process took close hr n nkindly look change prod delay not earlier n need threaddump network call log import process n ndelay could due resource availability sure need get stats dxp core pod nfyi meet evening fabio going import visitor today n n information discussed call checked db connectivity dxp core pod no issue nif get thread dump process running analyse delay issue let know still required call nfyi duplicate cancel one bug conversation update tracked one ticket see another duplicate problem keep one issue track slowness issue cancelling duplicate open,duplicate issue
don believe issue happening anymore qa not reproduce retest verify,reproducible or environment issue
no longer happening retest,reproducible or environment issue
im pretty sure exists different story fexco team marking duplicate,cancelling defect
not reproducible might intermittent glitch,reproducible or environment issue
guy facing issue no able access apps ship network using vpn screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket,duplicate issue
restart vpn try able launch application end vpn working fine ship well discussed check team vpn issue ablet access apps without issue ship network using vpn able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm,reproducible or environment issue
restart vpn try able launch application end vpn haven received issue ship well guy also facing issue hotfix got deployed yesterday no able access apps ni asked bridge call yesterday check vv team issue vpn screenshot pm n n screenshot pm n n screenshot pm n n screenshot pm n ncancelling ticket able connect app using vpn r nplease see attached screenshots r n r n hence canceling ticket,duplicate issue
reassigning test latest build verify still encountered r nthanks,reproducible or environment issue
validate issue recent code drop thank,duplicate issue
validate issue recent code drop thank,duplicate issue
closing bug depending answer create new one r nplease look connect booking page profile picture small r nshould profile voyage setting top right cropped considered invalid ui suggestion based mockups per conversation meeting size correct first glance could take ticket visual qa since clearly cropping issue,duplicate issue
validate issue recent code drop thank no longer reproduce,reproducible or environment issue
web marketing page not published need publish page since share component page inherited moment share component web marketing not published r nhere recording go let know anything wrong r n read comment web marketing page not published r nyes working thanks help publishing suite page normally page component share component also global one r n defect invalid assigned back board marked done understanding invalid defect should tracked cancelled otherwise make seem like effort completed team resolve hello r n r nthank update r n r nplease mention clearly user story well r n r nthanks r nrashmi r n r nthis normal workflow inherited component cm inheritance logic criterion already mentioned r n r nplease clarify needed added since publishing workflow opinion outside scope development task description r n r nthanks r n r njake,working as expected
appears old bug implementation done recently following latest documentation available appears old bug implementation done recently following latest documentation available,duplicate issue
r nanother issue found prod r n r nmessage guest address update failed seaware r n r nmessage detail seaware error client id edited xml server operator bizlogic ota workstation vvseaprodblota r n r ncorrelationid dca ff c b febb r n r nkibana link discussed lock process va call review month back need seaware extend end point build vxp user not end going page indeed designed error message somebody concurrently editing booking client respectively usualy approach issue r n happens rarely intermittently fall back mechanism try later e g batch queue user redirected error page specific message error possibly option contact call center r n happens specific reproducible scenario may synchronization issue making sure two application dont attempt modfy booking case need sw ota log order understand moment error happens scenario try figure application lock booking client test per defect triage test per defect triage not retested not know actual scenario coming prod dev pending able lock booking edit mode due dependency seaware support r n r nclosing bug would expected behaviour,reproducible or environment issue
close bug really no detail sailing selected need close let see come closing,duplicate issue
advise ticket r ni prioritising bug triage issue not production therefore newly introduced issue suggestion try fix go uat prevent running across environment r nthanks r nc sorry wrongly assigned assign marketing related ui defect r nanything ecomm assign dc team already fixed part r n r test defect deployed assigning n,reproducible or environment issue
field not dynamic static text always appear hint indicate incorrect submission r nbut still checking check box left email id field blank clicking sign button second error message should not come r n not requirement provided team clarify moved back backlog defect not valid based requirement should cancelled based understanding cancelling defect per not requirement hello r n r nkindly advise right requirement newsletter behavior sweepstakes page different homepage r n r nthanks r nrashmi r n r n behavior homepage see included screenshots r n r n screen shot screen shot,duplicate issue
review assign user story not part release r nbelow link release r review agree cancel defect put copy test retest within test rail lead source field updated lead page not account page cancelling defect change account page lead source still not available,cancelling defect
review think issue test case need updated match screen change cooky r n r n updated test case accordingly rejected not valid defect test case issue cancelling defect per comment r n,duplicate issue
review assign according user story ps save shop button should appear lead page sailor call vv r n save shop button hidden creating lead manually r n no change hapened behavior manually lead creation page navigator not supposed create lead manually r nthis new button provided qa team create lead end end flow ideally need lead creation via cti case no matching record r n r nthe page talking popped via cti call no matching record not defect need change behavior raise change request r n r nlet know detail r n raise change request,cancelling defect
assigning back duplicate bug cancel duplicate,duplicate issue
per mentioned comment closing defect,working as expected
hey r n r ncould look defect r nwe unable add campaignid sailor second time r n r nfyi review bug comment thanks r n r nhow suggest troubleshoot should expected behavior r n r nthis excepted behavior sailor already added campaign no need add r n r nplease refer ac detail error getting sf try add campaign id user r n code java r n message invalid campaignid aprcampaign r n code r n error message salesforce contains add account camp member add lead campaign member map invalid campaign id message end r n r nwhile developing used send invalid campaign id error message would get salesforce r n r nhowever retested defect today see able optin previously used campaign id r n could retest r n r n r n r ni retested issue seems crm made change end able add campaign second time r n r nthanks regard r ntejas parmar know change made allow still waiting response crm thought discussed stand expected behavior update standard behavior sfdc not add person campaign,working as expected
